1,1,1,0.75,0.6,0.66667,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
1,1,0.66667,0.5,0.6,0.66667,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
1,0.5,0.66667,0.5,0.6,0.66667,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
1,0.5,0.66667,0.75,0.6,0.66667,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.66667,0.75,0.8,0.83333,0.85714,0.875,0.88889,0.9,0.81818,0.83333,0.84615,0.85714,0.86667
0,0.5,0.66667,0.75,0.8,0.83333,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
0,0,0,0,0,0,0.14286,0.125,0.11111,0.2,0.18182,0.16667,0.15385,0.14286,0.13333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.66667,0.75,0.8,0.83333,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0.875,0.88889,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
0,0,0.33333,0.25,0.2,0.16667,0.14286,0.125,0.11111,0.1,0.090909,0.083333,0.076923,0.071429,0.066667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0.875,0.88889,0.9,0.90909,0.83333,0.84615,0.85714,0.86667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0.90909,0.91667,0.92308,0.92857,0.86667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.125,0.11111,0.1,0.090909,0.083333,0.076923,0.071429,0.066667
1,1,1,0.75,0.6,0.5,0.42857,0.375,0.33333,0.3,0.36364,0.33333,0.30769,0.28571,0.26667
0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.066667
0,0,0,0,0.2,0.16667,0.14286,0.125,0.11111,0.1,0.18182,0.16667,0.15385,0.14286,0.13333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.33333,0.25,0.2,0.33333,0.28571,0.375,0.33333,0.3,0.27273,0.25,0.23077,0.21429,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.25,0.2,0.16667,0.28571,0.25,0.22222,0.2,0.18182,0.25,0.23077,0.28571,0.33333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.66667,0.75,0.8,0.66667,0.71429,0.75,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.86667
0,0,0,0.25,0.2,0.16667,0.14286,0.125,0.22222,0.2,0.18182,0.16667,0.15385,0.14286,0.13333
1,0.5,0.33333,0.5,0.4,0.5,0.42857,0.375,0.33333,0.3,0.27273,0.25,0.23077,0.28571,0.26667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.33333,0.5,0.4,0.5,0.42857,0.375,0.33333,0.3,0.27273,0.25,0.30769,0.28571,0.26667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0.85714,0.875,0.77778,0.8,0.81818,0.83333,0.84615,0.85714,0.8
1,0.5,0.66667,0.75,0.8,0.83333,0.85714,0.875,0.88889,0.9,0.90909,0.91667,0.92308,0.92857,0.93333
1,1,1,1,1,1,1,1,1,1,1,1,0.92308,0.92857,0.86667
0,0,0,0,0,0,0,0,0,0.1,0.090909,0.083333,0.076923,0.14286,0.13333
1,1,1,1,0.8,0.83333,0.85714,0.875,0.88889,0.9,0.90909,0.91667,0.92308,0.92857,0.86667
1,1,1,1,1,1,0.85714,0.875,0.88889,0.9,0.90909,0.91667,0.92308,0.92857,0.86667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.66667,0.75,0.8,0.83333,0.85714,0.875,0.88889,0.9,0.81818,0.83333,0.84615,0.85714,0.86667
1,1,1,1,1,0.83333,0.85714,0.875,0.88889,0.9,0.90909,0.91667,0.92308,0.92857,0.93333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
